points,region_1,variety,price_bins
87,Willamette Valley,Pinot Gris,<$15
87,Lake Michigan Shore,Riesling,<$15
87,Willamette Valley,Pinot Noir,$60-100
87,Napa Valley,Cabernet Sauvignon,$15-30
87,Alexander Valley,Cabernet Sauvignon,$30-60
87,Central Coast,Chardonnay,<$15
87,Virginia,Meritage,$30-60
87,Virginia,Red Blend,$15-30
87,Oregon,Pinot Noir,$15-30
87,Paso Robles,Merlot,$15-30
87,Sonoma Coast,Pinot Noir,$60-100
86,Clarksburg,Chenin Blanc,$15-30
86,Dry Creek Valley,Red Blend,$30-60
86,Sonoma Valley,Sauvignon Blanc,$15-30
86,McMinnville,Pinot Noir,$30-60
86,Willamette Valley,Pinot Noir,$15-30
86,Paso Robles,Sauvignon Blanc,<$15
86,Virginia,Red Blend,$30-60
86,Lake County,Riesling,<$15
86,Monticello,Sauvignon Blanc,$15-30
85,Napa Valley,Chardonnay,$15-30
85,North Coast,Chardonnay,<$15
86,Columbia Valley (WA),Malbec,$30-60
86,Napa Valley,Cabernet Sauvignon,$60-100
86,Columbia Valley (WA),Cabernet Franc,$15-30
86,Santa Ynez Valley,Sauvignon Blanc,$15-30
86,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
86,California,Red Blend,<$15
86,Columbia Valley (WA),Chardonnay,<$15
86,Alexander Valley,Cabernet Sauvignon,$30-60
86,Howell Mountain,Cabernet Sauvignon,$60-100
86,Calistoga,Petite Sirah,$30-60
86,Napa Valley,Bordeaux-style Red Blend,$60-100
86,Eola-Amity Hills,Pinot Noir,$15-30
86,Napa Valley,Zinfandel,$15-30
86,Ancient Lakes,Albariño,$15-30
86,Knights Valley,Merlot,$30-60
88,Sonoma County,Red Blend,$15-30
88,Sonoma Coast,Pinot Gris,$15-30
88,Napa Valley,Meritage,$30-60
88,Columbia Valley (WA),Viognier,$15-30
88,Finger Lakes,Riesling,$15-30
88,Napa Valley,Bordeaux-style Red Blend,$60-100
88,Finger Lakes,Pinot Gris,$15-30
87,Finger Lakes,Riesling,$15-30
87,Finger Lakes,Riesling,$15-30
87,Santa Clara Valley,Zinfandel,$15-30
87,Yountville,Cabernet Sauvignon,$60-100
87,Paso Robles,Bordeaux-style Red Blend,$15-30
87,Paso Robles,Chardonnay,$15-30
87,Santa Ynez Valley,Grenache Blanc,$15-30
87,Central Coast,Syrah,$30-60
92,Alexander Valley,Chardonnay,$30-60
92,Rockpile,Zinfandel,$30-60
92,Napa Valley,Cabernet Sauvignon,$30-60
91,Napa Valley,Cabernet Sauvignon,$60-100
90,Santa Lucia Highlands,Riesling,$15-30
91,Spring Mountain District,Cabernet Sauvignon,$60-100
91,Santa Lucia Highlands,Pinot Noir,$60-100
91,Santa Ynez Valley,Cabernet Sauvignon,$60-100
91,Santa Ynez Valley,Cabernet Sauvignon,$60-100
91,Monterey,Rhône-style Red Blend,$30-60
91,Napa Valley,Cabernet Sauvignon,$15-30
91,Carmel Valley,Pinot Noir,$30-60
