points,price,province,region_1,region_2,variety,winery
87,14.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Rainstorm
87,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Sweet Cheeks
87,19.0,California,Napa Valley,Napa,Cabernet Sauvignon,Kirkland Signature
87,34.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Louis M. Martini
87,12.0,California,Central Coast,Central Coast,Chardonnay,Mirassou
87,20.0,Oregon,Oregon,Oregon Other,Pinot Noir,Acrobat
87,22.0,California,Paso Robles,Central Coast,Merlot,Bianchi
87,69.0,California,Sonoma Coast,Sonoma,Pinot Noir,Castello di Amorosa
86,16.0,California,Clarksburg,Central Valley,Chenin Blanc,Clarksburg Wine Company
86,50.0,California,Dry Creek Valley,Sonoma,Red Blend,Envolve
86,20.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Envolve
86,50.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Erath
86,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Hawkins Cellars
86,14.0,California,Paso Robles,Central Coast,Sauvignon Blanc,Robert Hall
85,30.0,California,Napa Valley,Napa,Chardonnay,RustRidge
85,14.0,California,North Coast,North Coast,Chardonnay,Souverain
86,55.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Mellisoni
86,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Okapi
86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Ram
86,26.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Sevtap
86,46.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Basel Cellars
86,12.0,California,California,California Other,Red Blend,Cocobon
86,12.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Drumheller
86,40.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Eco Terreno
86,75.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Hindsight
86,55.0,California,Calistoga,Napa,Petite Sirah,Hindsight
86,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Mulvane Wine Co.
86,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Z'IVO
86,24.0,California,Napa Valley,Napa,Zinfandel,Napa Cellars
86,20.0,Washington,Ancient Lakes,Columbia Valley,Albariño,Palencia
86,55.0,California,Knights Valley,Sonoma,Merlot,Passaggio
88,23.0,California,Sonoma County,Sonoma,Red Blend,Ferrari-Carano
88,18.0,California,Sonoma Coast,Sonoma,Pinot Gris,Folie à Deux
88,55.0,California,Napa Valley,Napa,Meritage,Franciscan
88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gård
88,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
88,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Soquel Vineyards
88,18.0,New York,Finger Lakes,Finger Lakes,Pinot Gris,Ventosa
87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
87,26.0,California,Santa Clara Valley,Central Coast,Zinfandel,Martin Ranch
87,85.0,California,Yountville,Napa,Cabernet Sauvignon,Piña
87,18.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Pull
87,18.0,California,Paso Robles,Central Coast,Chardonnay,Pull
87,25.0,California,Santa Ynez Valley,Central Coast,Grenache Blanc,R2
92,36.0,California,Alexander Valley,Sonoma,Chardonnay,Matrix
92,39.0,California,Rockpile,Sonoma,Zinfandel,Mauritson
92,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Silverado
91,78.0,California,Napa Valley,Napa,Cabernet Sauvignon,Clark-Clauden
90,17.0,California,Santa Lucia Highlands,Central Coast,Riesling,Banyan
91,85.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Terra Valentine
91,64.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
91,35.0,California,Monterey,Central Coast,Rhône-style Red Blend,Wrath
91,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Yardstick
91,55.0,California,Carmel Valley,Central Coast,Pinot Noir,Albatross Ridge
91,46.0,California,Paso Robles,Central Coast,Syrah,Alta Colina
91,36.0,California,Santa Cruz Mountains,Central Coast,Syrah,Big Basin
91,35.0,California,Paso Robles,Central Coast,Red Blend,Chronic Cellars
91,28.0,California,Edna Valley,Central Coast,Riesling,Claiborne & Churchill
91,28.0,California,Paso Robles,Central Coast,Cabernet Franc,Dracaena
91,95.0,California,Napa Valley,Napa,Merlot,Duckhorn
91,44.0,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
91,38.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
88,25.0,California,Sonoma Valley,Sonoma,Syrah,Kenwood
88,23.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Manzoni
88,36.0,California,Arroyo Seco,Central Coast,Pinot Noir,McIntyre Vineyards
88,35.0,California,Sonoma Coast,Sonoma,Chardonnay,Anaba
90,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
90,28.0,California,Nevada County,Sierra Foothills,Cabernet Franc,Sierra Starr
90,30.0,California,Paso Robles,Central Coast,G-S-M,J. Lohr
90,25.0,California,Arroyo Seco,Central Coast,Chardonnay,J. Lohr
90,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Courtney Benham
90,32.0,California,Dry Creek Valley,Sonoma,Zinfandel,Del Carlo Winery
90,48.0,California,Paso Robles,Central Coast,Red Blend,MCV
90,36.0,California,Dry Creek Valley,Sonoma,Rhône-style Red Blend,Mounts
90,20.0,California,Napa Valley,Napa,Fumé Blanc,Robert Mondavi
90,40.0,California,Sonoma Coast,Sonoma,Chardonnay,Sixteen by Twenty
85,15.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Wagner
85,14.0,New York,Cayuga Lake,Finger Lakes,Riesling,Treleaven
85,18.0,California,Napa Valley,Napa,Red Blend,Benessere
85,16.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Bloomer Creek
85,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
85,49.0,California,Santa Barbara County,Central Coast,Syrah,Testarossa
85,85.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Meeker
85,34.0,California,Napa Valley,Napa,Sangiovese,Falcor
85,15.0,California,Russian River Valley,Sonoma,Chardonnay,Hayman & Hill
85,30.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Hermann J. Wiemer
85,25.0,California,Sonoma Mountain,Sonoma,Merlot,Work
85,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amity
85,49.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Blue Rock
85,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cherry Hill
85,35.0,California,Amador County,Sierra Foothills,Zinfandel,Cloud 9
89,45.0,California,St. Helena,Napa,Petite Sirah,David Fulton
89,40.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
89,39.0,California,Napa Valley,Napa,Red Blend,Beaver Creek
89,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Byron
89,20.0,California,Sonoma County,Sonoma,Zinfandel,St. Francis
89,30.0,California,Napa Valley,Napa,Cabernet Sauvignon,Trailhead
92,34.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Cambria
92,52.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,J. Christopher
92,60.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
92,125.0,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
87,35.0,California,Paso Robles,Central Coast,Cabernet Sauvignon-Syrah,Treana
87,15.0,California,Napa Valley,Napa,Cabernet Sauvignon,Aquinas
87,28.0,California,Napa Valley,Napa,Sangiovese,Benessere
87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buried Cane
87,40.0,California,Napa Valley,Napa,Cabernet Sauvignon,Mount Veeder
87,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Robert Mondavi
86,11.0,New York,Finger Lakes,Finger Lakes,Vignoles,Lucas Vineyards
86,16.0,California,Knights Valley,Sonoma,White Blend,Beringer
86,40.0,California,Central Coast,Central Coast,Red Blend,Clos La Chance
82,48.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pezzi King
96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
95,200.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
95,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
88,160.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Sebastiani
88,18.0,California,Rutherford,Napa,Sauvignon Blanc,Vinoce
88,34.0,California,Russian River Valley,Sonoma,Merlot,Merriam
88,17.0,California,Alexander Valley,Sonoma,Sauvignon Blanc,Murphy-Goode
88,25.0,California,Edna Valley,Central Coast,Pinot Noir,Kynsi
87,12.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Bridlewood
85,16.0,California,California,California Other,Zinfandel,Cline
85,15.0,California,California,California Other,Red Blend,Vinavanti
85,45.0,California,Santa Barbara County,Central Coast,Syrah,Vino V
85,20.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,McGregor
85,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Miles
85,12.0,California,California,California Other,Cabernet Sauvignon,Morro Bay
85,14.0,New York,Finger Lakes,Finger Lakes,Riesling,Red Newt Cellars
89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Guardian
89,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Grenache Blanc,Kerloo
89,30.0,California,California,California Other,White Blend,Las Positas
89,18.0,New York,New York,New York Other,Rosé,Lieb
89,35.0,New York,North Fork of Long Island,Long Island,Sparkling Blend,Macari
89,42.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Milbrandt
89,30.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Ojai
89,24.0,California,Templeton Gap District,Central Coast,Tempranillo,ONX
89,16.0,Washington,Snipes Mountain,Columbia Valley,Riesling,Pomum
89,27.0,California,Santa Barbara County,Central Coast,Grenache Blanc,Prospect 772
89,54.0,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Trione
89,38.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Walla Walla Vintners
89,35.0,New York,Long Island,Long Island,Cabernet Franc,Wölffer
88,32.0,California,Sonoma Valley,Sonoma,Zinfandel,Dunbar
88,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Flying Cloud
92,40.0,California,Carneros,Napa-Sonoma,Chardonnay,Robert Mondavi
92,45.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Rusack
92,50.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Chehalem
92,29.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Chehalem
92,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
92,130.0,California,Rutherford,Napa,Cabernet Sauvignon,Bell
92,88.0,California,Napa Valley,Napa,Red Blend,Castello di Amorosa
87,45.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Sparkman
87,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Babcock
87,13.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Lyeth
87,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sangiovese,Zerba Cellars
87,35.0,Washington,Red Mountain,Columbia Valley,Red Blend,Insania
